processed_opcodes,virus
"cmp byte ptr [rax], dh xor dh, byte ptr cs:[rcx] xor dword ptr [rsi], ebp xor eax,  cmp dh, byte ptr [rcx] xor dword ptr [rcx], esi xor dword ptr [rax], eax add byte ptr [rax], al jb  outsd dx, dword ptr [rsi] je  add byte ptr [rax], al add byte ptr [rcx + 0x64], ah insd dword ptr [rdi], dx imul ebp, dword ptr [rsi],  jb  add byte ptr [rax], al add byte ptr [rdi + rbp*2 + 0x67], ch imul ebp, dword ptr [rsi],  jae  add byte ptr [rax], al add byte ptr [rbx + 0x75], dh jo  outsd dx, dword ptr [rsi] jb  add byte ptr [rax], al add byte ptr [rbp + 0x62], dh outsb dx, byte ptr [rsi] je  add byte ptr [rax], al add byte ptr [rdi + rbp*2 + 0x6f], dh jb  add byte ptr [rax], al add byte ptr [rbx + 0x68], ah",Gafgyt
"push rbx xor al, 0 xor dword ptr [rax], edi xor eax,  xor dh, byte ptr cs:[rip + ] cmp bh, byte ptr [rcx] xor dword ptr [rdi], esi xor eax, ",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Mirai
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Mirai
"xor dword ptr [rcx], edi cmp byte ptr [rsi], ch xor dword ptr [rdx], esi cmp dword ptr cs:[rdi], esi",Gafgyt
"xor esi, dword ptr [rcx] xor dword ptr cs:[rcx], edi xor ch, byte ptr [rsi] xor dword ptr [rax], esi xor dh, byte ptr cs:[rax + rsi] cmp dh, byte ptr [rcx] xor dh, byte ptr [rax] cmp dword ptr [rax], eax movsxd rsp, dword ptr [rax + 0x2f] je  jo  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch jbe  jb  outsb dx, byte ptr [rsi] and byte ptr [rsp + rdi*2 + 0x20], bh movsxd rsp, dword ptr [rax + 0x2f] insd dword ptr [rdi], dx outsb dx, byte ptr [rsi] je  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch jb  outsd dx, dword ptr [rsi] je  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch cmp esp, dword ptr [rax] ja  je  push ",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
"js  pop rdi xor esi, dword ptr [rdx] add byte ptr [rdi], ch jne  jb ",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Mirai
"xor dword ptr [rsi], esi",Lightaidra
"movsxd rbp, dword ptr [rsi + 0x63] add byte ptr [rsi + rsi*2 + 0x72], ah jae  jo  outsd dx, dword ptr [rsi] jb  add byte ptr [rbp + 0x69], ch jb  imul eax, dword ptr [rax],  add byte ptr gs:[rbp + 0x6d], ah outsd dx, dword ptr [rsi] outsb dx, byte ptr [rsi] add byte ptr [rax + 0x6f], ch push  imul esp, dword ptr [rcx + 0x69], 0 jae  je  jb  add byte ptr [rbp + 0x65], ch jae  imul esp, dword ptr [rcx + 0x68],  jae  insd dword ptr [rdi], dx imul esi, dword ptr [rax + 0x73],  push  jo  jb  add byte ptr [rax + 0x38], bh add byte ptr ss:[rcx + 0x72], ah insd dword ptr [rdi], dx jbe  add byte ptr [rcx + 0x72], ah insd dword ptr [rdi], dx jbe  add byte ptr [rcx + 0x36], ch cmp byte ptr [rsi], dh add byte ptr [rax + 0x6f], dh ja  jb  movsxd rax, dword ptr [rax] jo  movsxd rax, dword ptr [rax] imul esi, dword ptr [rip + ],  jae ",Gafgyt
"pop rax add byte ptr [rax], r8b add byte ptr [rcx], al add byte ptr [rax], dl add byte ptr [rax], al",Mirai
"push r12 add byte ptr [rdi], ch add byte ptr [rbx], bh and byte ptr [rax], al or eax,  cmp eax, dword ptr [rax]",Mirai
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Gafgyt
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Mirai
"outsd dx, dword ptr [rsi] jp  insb byte ptr [rdi], dx",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
"xor eax,  xor dword ptr [rsi], esi xor byte ptr [rsi], ch xor dh, byte ptr [rdx] cmp byte ptr [rdx], bh add byte ptr ss:[rax], bh cmp byte ptr cs:[rsi], ch cmp byte ptr [rsi], ch cmp byte ptr [rax], al",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Mirai
"movsxd rsp, dword ptr [rax + 0x2f] je  jo  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch jbe  jb  jae  insd dword ptr [rdi], dx and byte ptr [rsp + rdi*2 + 0x20], bh movsxd rsp, dword ptr [rax + 0x2f] insd dword ptr [rdi], dx outsb dx, byte ptr [rsi] je  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch jb  outsd dx, dword ptr [rsi] je  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch cmp esp, dword ptr [rax] ja  je  push ",Gafgyt
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
